,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
211076,F16Q30458443,202406,1.0,"(0.885, 0.96]",FL,0.9311261190436186,0.0
230044,F16Q40234716,202406,1.0,"(0.885, 0.96]",FL,0.9522889092832504,0.0
248088,F17Q10026965,202406,1.0,"(0.335, 0.666]",CA,0.5713259736134022,0.3249699950175767
251321,F17Q10072854,202406,1.0,"(0.666, 0.885]",IL,0.8823375461619696,0.0
269373,F17Q20068414,202406,0.0,"(0.000616, 0.102]",IL,0.09618678655974308,0.0021245706107615213
269741,F17Q20075874,202406,1.0,"(0.335, 0.666]",TX,0.522125733277775,0.3249699950175767
278338,F17Q20203173,202406,0.0,"(0.102, 0.335]",TX,0.26818076078153336,0.0682040830186075
282720,F17Q20277954,202406,1.0,"(0.666, 0.885]",IL,0.7648870573890213,0.0
283839,F17Q20298643,202406,0.0,"(0.666, 0.885]",TX,0.8380107968612542,0.0
302040,F17Q30267360,202406,0.0,"(0.000616, 0.102]",FL,0.04098346207975204,0.0021245706107615213
304915,F17Q30311627,202406,0.0,"(0.102, 0.335]",TX,0.3140049789363624,0.0682040830186075
304957,F17Q30311641,202406,1.0,"(0.666, 0.885]",TX,0.8839456483148072,0.0
311707,F17Q40027610,202406,1.0,"(0.885, 0.96]",IL,0.9223248651281253,0.0
314048,F17Q40073998,202406,0.0,"(0.102, 0.335]",TX,0.14539329342035154,0.0682040830186075
323297,F17Q40202424,202406,1.0,"(0.335, 0.666]",TX,0.6081479195221757,0.3249699950175767
325873,F17Q40246808,202406,1.0,"(0.885, 0.96]",IL,0.9253155286342402,0.0
326440,F17Q40254755,202406,1.0,"(0.96, 0.985]",IL,0.961219738228069,0.7926571840426938
338290,F18Q10077090,202406,0.0,"(0.000616, 0.102]",IL,0.06353603422934286,0.0021245706107615213
344875,F18Q10194715,202406,1.0,"(0.666, 0.885]",TX,0.7843768124320114,0.0
353932,F18Q20040841,202406,1.0,"(0.666, 0.885]",CA,0.8293243366089351,0.0
